rank,name,sex,origin,frequency
342,El Mostafa,M,arabic,13512
343,Nassima,F,arabic,13512
344,Mbarek,M,arabic,13457
345,Lamyae,F,arabic,13430
346,Naoufal,M,arabic,13321
347,Mhammed,M,arabic,13211
348,Lotfi,M,arabic,13102
349,Abdelfettah,M,arabic,12966
350,Nizar,M,arabic,12966
351,Slimane,M,arabic,12720
352,Youssra,M,arabic,12720
353,Abdelkebir,M,arabic,12666
354,Fadma,F,arabic,12611
355,Zainab,F,arabic,12611
356,Faouzia,F,arabic,12529
357,Mouloud,M,arabic,12502
358,Lhoussaine,M,arabic,12447
359,Touriya,F,arabic,12420
360,Aymane,M,arabic,12393
361,Houssine,M,arabic,12393
362,Meriam,F,arabic,12256
363,Merieme,F,arabic,12256
364,Mahdi,M,arabic,12229
365,Doha,M,arabic,12174
366,Ihssane,F,arabic,12147
367,Kacem,M,arabic,12147
368,Aissa,M,arabic,12120
369,Tariq,M,arabic,11929
370,Abdelmoula,M,arabic,11819
371,Hassani,M,arabic,11819
372,Chaymae,F,arabic,11792
373,Ouafaa,F,arabic,11765
374,Abdelmjid,M,arabic,11737
375,Badreddine,M,arabic,11656
376,Soufian,M,arabic,11656
377,Adel,F,arabic,11546
378,Lahoussine,M,arabic,11546
379,Aya,F,arabic,11519
380,Rabiaa,F,arabic,11519
381,Wissal,M,arabic,11464
382,Mouhssine,M,arabic,11437
383,Yamna,F,arabic,11437
384,Amar,M,arabic,11383
385,Ayman,M,arabic,11355
386,Boutaina,F,arabic,11355
387,El Hassan,M,arabic,11328
388,Sophia,F,arabic,11328
389,Ilyas,M,arabic,11246
390,Aouatif,F,arabic,11192
391,Fatma,F,arabic,11192
392,Chadia,F,arabic,11164
393,Chafik,M,arabic,11164
394,Abdelillah,M,arabic,11137
395,Hammou,M,arabic,11137
396,Elmostafa,M,arabic,11110
397,Toufik,M,arabic,11000
398,Khawla,F,arabic,10946
399,Alami,M,arabic,10919
400,Majdouline,F,arabic,10919
401,Ilias,M,arabic,10891
402,Rabab,F,arabic,10837
403,Rabii,M,arabic,10782
404,Zaid,M,arabic,10782
405,Maroua,M,arabic,10646
406,Rabha,F,arabic,10646
407,Saliha,F,arabic,10591
408,Selma,F,arabic,10482
409,Taoufiq,M,arabic,10482
410,Anissa,F,arabic,10455
411,Benaissa,M,arabic,10455
412,Habib,M,arabic,10427
413,Naziha,F,arabic,10318
414,Zhour,F,arabic,10291
415,Milouda,F,arabic,10236
