rank,name,sex,origin,frequency
418,Coşkun,M,turkish,
419,Kudret,M,turkish,
420,Hidayet,M,turkish,
421,Beyhan,M,turkish,
422,Ümmühan,F,turkish,
423,Sidika,F,turkish,
424,Nazan,F,turkish,
425,Sevilay,F,turkish,
426,Seval,M,turkish,
427,Süheyla,F,turkish,
428,Şakir,M,turkish,
429,Hilmi,M,turkish,
430,Dürdane,F,turkish,
431,Şeref,M,turkish,
432,Tayfun,M,turkish,
433,Sebahattin,M,turkish,
434,Necdet,M,turkish,
435,Rifat,M,turkish,
436,Seyit,M,turkish,
437,Tevfik,M,turkish,
438,Behiye,F,turkish,
439,Sefa,M,turkish,
440,Ferdi,M,turkish,
441,Asuman,F,turkish,
442,Nazım,M,turkish,
443,Bahattin,M,turkish,
444,Cüneyt,M,turkish,
445,Sercan,M,turkish,
446,Hüsniye,F,turkish,
447,Tarik,M,turkish,
448,Aylin,F,turkish,
449,Gözde,F,turkish,
450,Nurdan,F,turkish,
451,Hüsne,F,turkish,
452,Gülçin,F,turkish,
453,Vesile,F,turkish,
454,Hüsnü,M,turkish,
455,Birol,M,turkish,
456,Sümeyye,F,turkish,
457,Günay,M,turkish,
458,Şule,F,turkish,
459,Ezgi,F,turkish,
460,Vildan,F,turkish,
461,Inci,F,turkish,
462,Firdevs,F,turkish,
463,Ülkü,M,turkish,
464,Rasim,M,turkish,
465,Esme,F,turkish,
466,Ozan,M,turkish,
467,Ertuğrul,M,turkish,
468,Atilla,M,turkish,
469,Muazzez,F,turkish,
470,Durdu,M,turkish,
471,Eyyüp,M,turkish,
472,Kerem,M,turkish,
473,Nigar,F,turkish,
474,Seyfettin,M,turkish,
475,Muhsin,M,turkish,
476,Azime,F,turkish,
477,Sezgin,M,turkish,
478,Nazire,F,turkish,
479,Naile,F,turkish,
480,Handan,F,turkish,
481,Şerafettin,M,turkish,
482,Necmiye,F,turkish,
483,Halise,F,turkish,
484,Halis,M,turkish,
485,Berna,F,turkish,
486,Esin,M,turkish,
487,Bahri,M,turkish,
488,Caner,M,turkish,
489,Tamer,M,turkish,
490,Cahit,M,turkish,
491,Fehmi,M,turkish,
492,Güldane,F,turkish,
493,Gülistan,F,turkish,
494,Can,M,turkish,
495,Hayri,M,turkish,
496,Bünyamin,M,turkish,
497,Ümmügülsüm,F,turkish,
498,Bahriye,F,turkish,
499,Nedim,M,turkish,
500,Nazmi,M,turkish,
501,Selime,F,turkish,
502,Süreyya,M,turkish,
503,Emrullah,M,turkish,
504,Nurullah,M,turkish,
505,Mediha,F,turkish,
506,Zöhre,F,turkish,
507,Lütfi,M,turkish,
508,Eren,M,turkish,
509,Ümran,M,turkish,
510,Nagihan,F,turkish,
511,Özgül,M,turkish,
512,Satilmiş,M,turkish,
513,Ertan,M,turkish,
514,Sebiha,F,turkish,
515,Rahmi,M,turkish,
516,Akif,M,turkish,
517,Alime,F,turkish,
518,Sefer,M,turkish,
519,Naci,M,turkish,
520,Aslıhan,F,turkish,
521,Nesibe,F,turkish,
522,Rabiye,F,turkish,
523,Ilkay,M,turkish,
524,Sabahat,F,turkish,
525,Ferit,M,turkish,
526,Aysen,F,turkish,
527,Sevcan,M,turkish,
528,Latife,F,turkish,
529,Eşref,M,turkish,
530,Didem,F,turkish,
531,Cevat,M,turkish,
532,Şehriban,F,turkish,
533,Hadice,F,turkish,
534,Nafiye,F,turkish,
535,Sadettin,M,turkish,
536,Gülnaz,F,turkish,
537,Gurbet,M,turkish,
538,Selin,F,turkish,
539,Nahide,F,turkish,
540,Cumali,M,turkish,
541,Gürkan,M,turkish,
542,Vahide,F,turkish,
543,Akın,M,turkish,
544,Nezaket,F,turkish,
545,Erdinç,M,turkish,
546,Pelin,F,turkish,
547,Şirin,M,turkish,
548,Güner,M,turkish,
549,Mahir,M,turkish,
550,Ilhami,M,turkish,
551,Müşerref,M,turkish,
552,Eşe,M,turkish,
553,Veysi,M,turkish,
554,Çiçek,F,turkish,
555,Hayati,M,turkish,
556,Adalet,M,turkish,
557,Elvan,M,turkish,
558,Fethiye,F,turkish,
559,Yurdagül,F,turkish,
560,Sezer,M,turkish,
561,Sezai,M,turkish,
562,Fikri,M,turkish,
563,Mücahit,M,turkish,
564,Cevriye,F,turkish,
565,Selver,M,turkish,
566,Damla,F,turkish,
567,Zülfiye,F,turkish,
568,Şeyda,M,turkish,
569,Aygül,F,turkish,
570,Şehri,M,turkish,
571,Nusret,M,turkish,
572,Hamdiye,F,turkish,
573,Bedia,F,turkish,
574,Fevziye,F,turkish,
575,Nadire,F,turkish,
576,Gülden,F,turkish,
577,Belgin,M,turkish,
578,Nur,M,turkish,
579,Yağmur,M,turkish,
580,Faik,M,turkish,
581,Olcay,M,turkish,
582,Asim,M,turkish,
583,Banu,F,turkish,
584,Nizamettin,M,turkish,
585,Leman,F,turkish,
586,Rafet,M,turkish,
587,Oya,F,turkish,
588,Zeynel,M,turkish,
589,Nalan,F,turkish,
590,Münire,F,turkish,
591,Gülser,F,turkish,
592,Mikail,M,turkish,
593,Ayşenur,F,turkish,
594,Nurhayat,F,turkish,
595,Fehime,F,turkish,
596,Anıl,M,turkish,
597,Irem,M,turkish,
598,Şeyhmus,M,turkish,
599,Sabahattin,M,turkish,
600,Mutlu,M,turkish,
601,Serdal,M,turkish,
602,Alaattin,M,turkish,
603,Necip,M,turkish,
604,Tekin,M,turkish,
605,Neziha,F,turkish,
606,Güneş,M,turkish,
607,Bilge,M,turkish,
608,Selvi,F,turkish,
609,Necmi,M,turkish,
610,Hanifi,M,turkish,
611,Bircan,M,turkish,
612,Buket,F,turkish,
613,Hüsamettin,M,turkish,
614,Reşit,M,turkish,
615,Talip,M,turkish,
616,Alev,M,turkish,
617,Abdulkerim,M,turkish,
618,Nail,M,turkish,
619,Cahide,F,turkish,
620,Siddika,F,turkish,
621,Haşim,M,turkish,
622,Fethi,M,turkish,
623,Menekşe,F,turkish,
624,Cemalettin,M,turkish,
625,Halim,M,turkish,
626,Melih,M,turkish,
627,Refik,M,turkish,
628,Teslime,F,turkish,
629,Emir,M,turkish,
630,Gülhanım,F,turkish,
631,Hamiyet,F,turkish,
632,Mesude,F,turkish,
633,Baki,M,turkish,
634,Halide,F,turkish,
635,Güngör,M,turkish,
636,Hazal,F,turkish,
637,Zarife,F,turkish,
638,Tülin,F,turkish,
639,Mümin,M,turkish,
640,Berrin,F,turkish,
641,Dilan,F,turkish,
642,Firdes,F,turkish,
643,Nefise,F,turkish,
644,Reşat,M,turkish,
645,Mürüvvet,F,turkish,
646,Miyase,F,turkish,
647,Nadir,M,turkish,
648,Lokman,M,turkish,
649,Nergiz,F,turkish,
650,Gülbeyaz,F,turkish,
651,Galip,M,turkish,
652,Koray,M,turkish,
653,Seçil,M,turkish,
654,Yadigar,M,turkish,
655,Güven,M,turkish,
656,Sümeyra,F,turkish,
657,Ergin,M,turkish,
658,Şenel,M,turkish,
659,Hidir,M,turkish,
660,Hasret,M,turkish,
661,Lale,F,turkish,
662,Raşit,M,turkish,
663,Nazime,F,turkish,
664,Ceren,M,turkish,
665,Ömür,M,turkish,
666,Kaan,M,turkish,
667,Mihriban,F,turkish,
668,Şermin,F,turkish,
669,Saim,M,turkish,
670,Atiye,F,turkish,
671,Gürsel,M,turkish,
672,Gülümser,F,turkish,
673,Mükerrem,M,turkish,
674,Şevki,M,turkish,
675,Ender,M,turkish,
676,Menşure,F,turkish,
677,Abdurrahim,M,turkish,
678,Cihat,M,turkish,
679,Şemsi,M,turkish,
680,Bahadır,M,turkish,
681,Ummahan,F,turkish,
682,Haluk,M,turkish,
683,Mürvet,M,turkish,
684,Kadri,M,turkish,
685,Aslan,M,turkish,
686,Necibe,F,turkish,
687,Şemsettin,M,turkish,
688,Pervin,F,turkish,
689,Gonca,F,turkish,
690,Eray,M,turkish,
691,Abuzer,M,turkish,
692,Binnaz,F,turkish,
693,Selman,M,turkish,
694,Gülsün,F,turkish,
695,Esat,M,turkish,
696,Mukadder,M,turkish,
697,Burçin,M,turkish,
698,Kerime,F,turkish,
699,Mürsel,M,turkish,
700,Gazi,M,turkish,
701,Hande,F,turkish,
702,Cavit,M,turkish,
703,Kamuran,M,turkish,
704,Islim,F,turkish,
705,Naim,M,turkish,
706,Hürü,F,turkish,
707,Kiraz,F,turkish,
708,Mithat,M,turkish,
709,Özden,M,turkish,
710,Şennur,F,turkish,
711,Gülperi,F,turkish,
712,Müjgan,F,turkish,
713,Eylem,M,turkish,
714,Şener,M,turkish,
715,Refika,F,turkish,
716,Abidin,M,turkish,
717,Çağlar,M,turkish,
718,Behice,F,turkish,
719,Zerrin,F,turkish,
720,Üzeyir,M,turkish,
721,Aytekin,M,turkish,
722,Aycan,M,turkish,
723,Esengül,F,turkish,
724,Huri,F,turkish,
725,Gökçe,M,turkish,
726,Özer,M,turkish,
727,Evren,M,turkish,
728,Sabire,F,turkish,
729,Fazli,M,turkish,
730,Beytullah,M,turkish,
731,Ethem,M,turkish,
732,Ece,F,turkish,
733,Temel,M,turkish,
734,Dilara,F,turkish,
735,Sariye,F,turkish,
736,Şükrüye,F,turkish,
737,Sunay,M,turkish,
738,Şafak,M,turkish,
739,Hicran,M,turkish,
740,Sedef,F,turkish,
741,Ayişe,F,turkish,
742,Güzel,M,turkish,
743,Rüstem,M,turkish,
744,Turhan,M,turkish,
745,Abbas,M,turkish,
746,Mualla,F,turkish,
747,Fazilet,F,turkish,
748,Arslan,M,turkish,
749,Imran,M,turkish,
750,Nilay,F,turkish,
751,Nuh,M,turkish,
752,Latif,M,turkish,
753,Tuncer,M,turkish,
754,Altun,M,turkish,
755,Mecit,M,turkish,
756,Feyzullah,M,turkish,
757,Samiye,F,turkish,
758,Sevgül,F,turkish,
759,Ergül,M,turkish,
760,Ökkeş,M,turkish,
761,Nevriye,F,turkish,
762,Müge,F,turkish,
763,Vahit,M,turkish,
764,Saffet,M,turkish,
765,Nazif,M,turkish,
766,Ishak,M,turkish,
767,Göksel,M,turkish,
768,Cevahir,M,turkish,
769,Avni,M,turkish,
770,Başak,M,turkish,
771,Beyza,F,turkish,
772,Şefik,M,turkish,
773,Celalettin,M,turkish,
774,Ulviye,F,turkish,
775,Yıldırım,M,turkish,
776,Hüsna,F,turkish,
777,Edibe,F,turkish,
778,Gülnur,F,turkish,
779,Ebubekir,M,turkish,
780,Sadi,M,turkish,
781,Aytaç,M,turkish,
782,Berivan,F,turkish,
783,Fulya,F,turkish,
784,Gülüstan,F,turkish,
785,Fatmana,F,turkish,
786,Recai,M,turkish,
787,Emriye,F,turkish,
788,Derviş,M,turkish,
789,Celil,M,turkish,
790,Çağla,M,turkish,
791,Behçet,M,turkish,
792,Ferda,M,turkish,
793,Nazik,F,turkish,
794,Abdulaziz,M,turkish,
795,Kibar,M,turkish,
796,Muhterem,M,turkish,
797,Çağri,M,turkish,
798,Resmiye,F,turkish,
799,Talat,M,turkish,
800,Sündüs,F,turkish,
801,Seçkin,M,turkish,
802,Iskender,M,turkish,
803,Ünzile,F,turkish,
804,Muradiye,F,turkish,
805,Sadet,M,turkish,
806,Hulusi,M,turkish,
807,Cenk,M,turkish,
808,Ersan,M,turkish,
809,Ayser,F,turkish,
810,Tufan,M,turkish,
811,Solmaz,M,turkish,
812,Düriye,F,turkish,
813,Güleser,F,turkish,
814,Gültekin,M,turkish,
815,Abdulbaki,M,turkish,
816,Köksal,M,turkish,
817,Siddik,M,turkish,
818,Seyfi,M,turkish,
819,Ikbal,M,turkish,
820,Feyza,F,turkish,
821,Habip,M,turkish,
822,Maşallah,M,turkish,
823,Sena,M,turkish,
824,Batuhan,M,turkish,
825,Buse,F,turkish,
826,Feyzi,M,turkish,
827,Esen,M,turkish,
828,Ferhan,M,turkish,
829,Gazal,M,turkish,
830,Müyesser,F,turkish,
831,Fatima,F,turkish,
832,Şehmus,M,turkish,
833,Bahtiyar,M,turkish,
834,Nadiye,F,turkish,
835,Nejdet,M,turkish,
836,Cumhur,M,turkish,
837,Atila,M,turkish,
838,Seyran,M,turkish,
839,Imdat,M,turkish,
840,Fadile,F,turkish,
841,Atakan,M,turkish,
842,Vasfiye,F,turkish,
843,Ceyda,F,turkish,
844,Hayrullah,M,turkish,
845,Izzettin,M,turkish,
846,Jale,F,turkish,
847,Cebrail,M,turkish,
848,Basri,M,turkish,
849,Alaettin,M,turkish,
850,Alican,M,turkish,
851,Bedri,M,turkish,
