rank,name,origin,frequency
680,Angelo,flemish,1523
681,Sophia,flemish,1523
682,Monika,flemish,1519
683,Rosalie,flemish,1518
684,Muhammed,flemish,1510
685,Lode,flemish,1504
686,Miranda,flemish,1495
687,Floris,flemish,1492
688,Oona,flemish,1490
689,Imran,flemish,1489
690,Judith,flemish,1488
691,Thibo,flemish,1485
692,Annita,flemish,1482
693,Thibaut,flemish,1473
694,Ellie,flemish,1468
695,Flore,flemish,1468
696,Jochen,flemish,1456
697,Bob,flemish,1452
698,El,flemish,1452
699,Brian,flemish,1445
700,Claude,flemish,1444
701,Diego,flemish,1438
702,Elly,flemish,1436
703,Beatrice,flemish,1435
704,Cecilia,flemish,1426
705,Edward,flemish,1425
706,Suzanna,flemish,1424
707,Agnès,flemish,1415
708,Stella,flemish,1411
709,Hannes,flemish,1410
710,Fanny,flemish,1409
711,Abdul,flemish,1408
712,Kristine,flemish,1405
713,Adriana,flemish,1404
714,Nils,flemish,1394
715,Marie-Rose,flemish,1394
716,Lana,flemish,1391
717,Ignace,flemish,1386
718,Marcella,flemish,1382
719,Milo,flemish,1377
720,Jacobus,flemish,1376
721,Cornelia,flemish,1376
722,Adrian,flemish,1360
723,Leopold,flemish,1358
724,Ida,flemish,1357
725,Noëlla,flemish,1356
726,Leona,flemish,1355
727,Yasmina,flemish,1352
728,Gabrielle,flemish,1351
729,Billie,flemish,1349
730,Gerarda,flemish,1343
731,Estelle,flemish,1342
732,Anton,flemish,1339
733,Bieke,flemish,1335
734,Pedro,flemish,1333
735,Beatrijs,flemish,1330
736,Melanie,flemish,1329
737,Mira,flemish,1327
738,Geoffrey,flemish,1326
739,Lenn,flemish,1325
740,Lieselot,flemish,1324
741,Julienne,flemish,1321
742,Irma,flemish,1321
743,Tommy,flemish,1319
744,Christelle,flemish,1317
745,Katrijn,flemish,1313
746,Gina,flemish,1311
747,Armand,flemish,1306
748,Amelia,flemish,1305
749,Joël,flemish,1303
750,Huguette,flemish,1302
751,Muhammad,flemish,1301
752,Mohamad,flemish,1301
753,Valentina,flemish,1298
754,Juul,flemish,1293
755,Ryan,flemish,1293
756,Jarno,flemish,1286
757,Marcus,flemish,1284
758,Tatiana,flemish,1281
759,Gianni,flemish,1273
760,Natascha,flemish,1272
761,Cécile,flemish,1271
762,Flor,flemish,1270
763,Evelyn,flemish,1268
764,Sebastiaan,flemish,1261
765,Cathy,flemish,1257
766,Loes,flemish,1256
767,Lutgardis,flemish,1250
768,Ludwig,flemish,1249
769,Yara,flemish,1241
770,Debby,flemish,1238
771,Henriette,flemish,1238
772,Natasja,flemish,1234
773,Karl,flemish,1227
774,Ghislaine,flemish,1227
775,Klaas,flemish,1226
776,Marie-Claire,flemish,1221
777,Tineke,flemish,1219
778,Farah,flemish,1210
779,Rania,flemish,1201
780,Anneke,flemish,1198
781,Inaya,flemish,1196
782,Tinne,flemish,1196
783,Henk,flemish,1189
784,Mil,flemish,1187
785,Irena,flemish,1187
786,Casper,flemish,1185
787,Nour,flemish,1184
788,Lieze,flemish,1184
789,Josepha,flemish,1178
790,Ingeborg,flemish,1173
791,Abdullah,flemish,1172
792,Krista,flemish,1167
793,Ginette,flemish,1159
794,Boris,flemish,1154
795,Yolanda,flemish,1152
796,Hajar,flemish,1150
797,Helga,flemish,1149
798,Marguerite,flemish,1149
799,Kristiaan,flemish,1147
800,Mathijs,flemish,1147
801,Steffi,flemish,1146
802,Nand,flemish,1139
803,Frederic,flemish,1135
804,George,flemish,1134
805,Colette,flemish,1133
806,Christof,flemish,1124
807,Ilona,flemish,1123
808,Germaine,flemish,1123
809,Kimberley,flemish,1122
810,Fatiha,flemish,1114
811,Katelijne,flemish,1109
812,Jean-Paul,flemish,1105
813,Kristina,flemish,1105
814,Christianne,flemish,1097
815,Lindsey,flemish,1095
816,Owen,flemish,1090
817,Luka,flemish,1077
818,Stien,flemish,1069
819,Brigitta,flemish,1066
820,Rafaël,flemish,1065
821,Henricus,flemish,1064
822,Jean-Marie,flemish,1060
823,Gisèle,flemish,1057
824,Katty,flemish,1054
825,Yanis,flemish,1052
826,Lia,flemish,1052
827,Bertha,flemish,1050
828,Carolien,flemish,1050
829,Zahra,flemish,1044
830,Joëlle,flemish,1040
831,Magali,flemish,1031
832,Brahim,flemish,1029
833,Jaak,flemish,1026
834,Roy,flemish,1024
835,Carolina,flemish,1024
836,Audrey,flemish,1024
837,Freya,flemish,1020
838,Marwa,flemish,1018
839,Fabian,flemish,1011
840,Marta,flemish,1007
841,Joppe,flemish,1002
842,Silvia,flemish,1000
843,Mina,flemish,999
844,Alexia,flemish,999
845,Rose,flemish,997
846,Marie-Thérèse,flemish,996
847,Mehdi,flemish,994
848,Amal,flemish,990
849,Alix,flemish,990
850,Ferdinand,flemish,986
851,Birgit,flemish,981
852,Sami,flemish,979
853,Alfred,flemish,974
854,Julian,flemish,972
855,Daniela,flemish,971
856,Angelina,flemish,971
857,Diederik,flemish,966
858,Ayman,flemish,966
859,Marie-José,flemish,965
860,Christoph,flemish,962
861,Reinhilde,flemish,960
862,Esmée,flemish,960
863,Rosita,flemish,958
864,Harry,flemish,957
865,Jasmine,flemish,957
866,Alexandru,flemish,950
867,Yassin,flemish,947
868,Lydie,flemish,947
869,Chiara,flemish,946
870,Miriam,flemish,941
871,Olena,flemish,941
872,Yousra,flemish,934
873,Hailey,flemish,931
874,June,flemish,929
875,Debbie,flemish,926
876,Léa,flemish,926
877,Jordi,flemish,924
878,Isaac,flemish,922
879,Ghislain,flemish,921
880,Leander,flemish,918
881,Liliana,flemish,914
882,Margo,flemish,910
883,Heleen,flemish,902
884,Daphne,flemish,900
885,Katarzyna,flemish,898
886,Kiara,flemish,898
887,Vasile,flemish,897
888,Mariia,flemish,896
889,Zita,flemish,895
890,Alexis,flemish,894
891,Jessie,flemish,893
892,Antoinette,flemish,889
893,Osman,flemish,888
894,Rafael,flemish,888
895,Ariane,flemish,887
896,Maurits,flemish,884
897,Constant,flemish,882
898,Suzy,flemish,881
899,Isabella,flemish,880
900,Oleksandr,flemish,879
901,Edmond,flemish,873
902,Roman,flemish,870
903,Raoul,flemish,868
904,Mirthe,flemish,866
905,Joshua,flemish,860
906,Jessy,flemish,859
907,Lex,flemish,858
908,Ludovic,flemish,856
909,Jacob,flemish,853
910,Andrei,flemish,853
911,Edouard,flemish,853
912,Achiel,flemish,853
913,Elsa,flemish,851
914,Katja,flemish,849
915,Anissa,flemish,848
916,Eden,flemish,847
917,Mariana,flemish,845
918,Lutgart,flemish,845
919,Ada,flemish,843
920,Tetiana,flemish,842
921,Flo,flemish,842
922,Marjan,flemish,841
923,Angelique,flemish,841
924,Kristin,flemish,839
925,Nicky,flemish,836
926,Annette,flemish,836
927,Iryna,flemish,826
928,Juan,flemish,825
929,Soraya,flemish,824
930,Lionel,flemish,823
931,Gabriël,flemish,820
932,Irina,flemish,819
933,Emir,flemish,814
934,Tijs,flemish,814
935,Féline,flemish,813
936,Caro,flemish,812
937,Angèle,flemish,809
938,Jeannette,flemish,809
939,Ellis,flemish,808
940,Hafsa,flemish,806
941,Dean,flemish,802
942,Joran,flemish,802
943,Kjell,flemish,802
944,Sammy,flemish,799
945,Gabriella,flemish,799
