rank,name,origin,frequency
317,Liekens,flemish,1696
318,Rogiers,flemish,1695
319,Gevaert,flemish,1693
320,Rycke,flemish,1687
321,Sels,flemish,1686
322,Vereecken,flemish,1674
323,Schutter,flemish,1674
324,Faes,flemish,1673
325,Samyn,flemish,1669
326,Auwera,flemish,1661
327,Heremans,flemish,1660
328,Vissers,flemish,1658
329,Buyse,flemish,1657
330,Schoofs,flemish,1656
331,Bondt,flemish,1654
332,Dewitte,flemish,1652
333,Denys,flemish,1648
334,Fransen,flemish,1642
335,Vermeir,flemish,1641
336,Depuydt,flemish,1638
337,Rombouts,flemish,1635
338,Willekens,flemish,1634
339,Timmerman,flemish,1634
340,Kaur,flemish,1630
341,François,flemish,1630
342,Degryse,flemish,1630
343,Borremans,flemish,1629
344,Raeymaekers,flemish,1618
345,Vereecke,flemish,1618
346,Ryck,flemish,1617
347,Ramaekers,flemish,1617
348,Sabbe,flemish,1616
349,Bruycker,flemish,1614
350,Adriaensen,flemish,1608
351,Bruyninckx,flemish,1596
352,Stroobants,flemish,1593
353,Bossuyt,flemish,1592
354,Colpaert,flemish,1590
355,Joos,flemish,1583
356,Dejonghe,flemish,1579
357,Belmans,flemish,1576
358,Bruneel,flemish,1567
359,Adams,flemish,1566
360,Impe,flemish,1565
361,Reynaert,flemish,1561
362,Mey,flemish,1556
363,Kerkhofs,flemish,1555
364,Sanders,flemish,1553
365,Kenis,flemish,1538
366,Mees,flemish,1535
367,Boeckx,flemish,1530
368,Knockaert,flemish,1529
369,Campenhout,flemish,1527
370,Verfaillie,flemish,1527
371,Verbiest,flemish,1525
372,Genechten,flemish,1523
373,Theunis,flemish,1517
374,Marien,flemish,1516
375,Fierens,flemish,1516
376,Deceuninck,flemish,1514
377,Pollet,flemish,1513
378,Roosen,flemish,1512
379,Herman,flemish,1510
380,Theys,flemish,1507
381,Seghers,flemish,1507
382,Vervaet,flemish,1505
383,Demeyere,flemish,1501
384,Landeghem,flemish,1499
385,Weerdt,flemish,1498
386,Vanderheyden,flemish,1497
387,Hoecke,flemish,1496
388,Devriendt,flemish,1494
389,Holvoet,flemish,1492
390,Blondeel,flemish,1489
391,Beernaert,flemish,1484
392,Geudens,flemish,1478
393,Mulder,flemish,1476
394,Breugelmans,flemish,1474
395,Huys,flemish,1473
396,Braem,flemish,1472
397,Dockx,flemish,1470
398,Rombaut,flemish,1467
399,Delaere,flemish,1464
400,Meersman,flemish,1460
401,Nuffel,flemish,1458
402,Deconinck,flemish,1456
403,Carlier,flemish,1455
404,Neyens,flemish,1455
405,Beyens,flemish,1444
406,Loock,flemish,1440
407,Wulf,flemish,1439
408,Deleu,flemish,1436
409,Neirynck,flemish,1428
410,Verwimp,flemish,1425
411,Slegers,flemish,1419
412,Schrijver,flemish,1413
413,Claesen,flemish,1412
414,Schryver,flemish,1411
415,Poelmans,flemish,1411
416,Standaert,flemish,1410
417,Coene,flemish,1407
418,Vanderlinden,flemish,1406
419,Vergauwen,flemish,1402
420,Vinck,flemish,1401
421,Degroote,flemish,1393
422,Vranckx,flemish,1392
423,Roover,flemish,1389
424,Devolder,flemish,1388
425,Dekeyser,flemish,1386
426,Demeulenaere,flemish,1385
427,Boon,flemish,1384
428,Vervaeke,flemish,1382
429,Broeckx,flemish,1375
430,Bouckaert,flemish,1372
431,Vermeylen,flemish,1365
432,Baelen,flemish,1362
433,Poucke,flemish,1361
434,Baere,flemish,1354
435,Beeckman,flemish,1349
436,Muynck,flemish,1348
437,Voet,flemish,1347
438,Moreels,flemish,1344
439,Berghmans,flemish,1343
440,Ceuppens,flemish,1342
441,Blommaert,flemish,1341
442,Verstappen,flemish,1338
443,Hens,flemish,1337
444,Galle,flemish,1337
445,Swennen,flemish,1328
446,Wynants,flemish,1325
447,Dierick,flemish,1323
448,Neven,flemish,1322
449,Lierde,flemish,1319
450,Groof,flemish,1312
451,Simoens,flemish,1310
452,Matthijs,flemish,1308
453,Praet,flemish,1303
454,Nelissen,flemish,1302
455,Vlaeminck,flemish,1301
456,Troch,flemish,1291
457,Vleugels,flemish,1289
458,Saelens,flemish,1288
459,Demeyer,flemish,1285
460,Derycke,flemish,1284
461,Naert,flemish,1284
462,Brouwers,flemish,1283
463,Adriaenssens,flemish,1279
464,Cuyvers,flemish,1279
465,Hulle,flemish,1279
466,Verbrugghe,flemish,1272
467,Leeuw,flemish,1269
468,Raemdonck,flemish,1269
469,Gillis,flemish,1266
470,Dooren,flemish,1263
471,Colman,flemish,1262
472,Maris,flemish,1262
473,Moonen,flemish,1261
474,Snauwaert,flemish,1258
475,Machiels,flemish,1256
476,Deman,flemish,1255
477,Schreurs,flemish,1254
478,Roo,flemish,1249
479,Tielemans,flemish,1247
480,Kasmi,flemish,1244
481,Parys,flemish,1244
482,Malfait,flemish,1242
483,Gijbels,flemish,1237
484,Casteleyn,flemish,1235
485,Vaerenbergh,flemish,1234
486,Goyvaerts,flemish,1227
487,Hanssens,flemish,1227
488,Vanbrabant,flemish,1222
489,Stas,flemish,1221
490,Linden,flemish,1219
491,Dewilde,flemish,1216
492,Geuens,flemish,1215
493,Schuermans,flemish,1213
494,Baele,flemish,1204
495,Verbraeken,flemish,1203
496,Vanlerberghe,flemish,1203
497,Eggermont,flemish,1200
498,Hendrikx,flemish,1198
499,Kerckhove,flemish,1195
500,Bervoets,flemish,1194
501,Rottiers,flemish,1193
502,Mol,flemish,1192
503,Laethem,flemish,1187
504,Verhaert,flemish,1182
505,Diels,flemish,1180
506,Demeulemeester,flemish,1178
507,Vandenbulcke,flemish,1177
508,Meyers,flemish,1173
509,Polfliet,flemish,1165
510,Veken,flemish,1164
511,Steegmans,flemish,1164
512,Hofman,flemish,1162
513,Braeckman,flemish,1159
514,Storms,flemish,1158
515,Gabriels,flemish,1158
516,Serneels,flemish,1158
517,Scheers,flemish,1156
518,Neyt,flemish,1156
519,Heuvel,flemish,1155
520,Seynaeve,flemish,1155
521,Bernaerts,flemish,1153
522,Vriendt,flemish,1153
523,Corte,flemish,1151
524,Barry,flemish,1150
525,Jaeger,flemish,1145
526,Winters,flemish,1145
527,Shinwari,flemish,1144
528,Goemaere,flemish,1143
529,Soenen,flemish,1140
530,Vandenabeele,flemish,1139
531,Vanhoof,flemish,1135
532,Claerhout,flemish,1132
533,Vangeel,flemish,1127
534,Vergote,flemish,1127
535,Staes,flemish,1125
536,Vandeweyer,flemish,1125
537,Werbrouck,flemish,1121
538,Verlinde,flemish,1119
539,Aelbrecht,flemish,1118
540,Verstrepen,flemish,1116
541,Cooreman,flemish,1116
542,Opstal,flemish,1113
543,Geukens,flemish,1113
544,Smekens,flemish,1113
545,Camps,flemish,1110
546,Wils,flemish,1105
547,Thienpont,flemish,1105
548,Valcke,flemish,1105
549,Smeyers,flemish,1104
550,Schelfhout,flemish,1104
551,Konings,flemish,1103
552,Dujardin,flemish,1102
553,Cauwenberghe,flemish,1102
554,Cornelissen,flemish,1101
555,Heirman,flemish,1093
556,Martin,flemish,1090
557,Govaert,flemish,1088
558,Bellens,flemish,1087
559,Mustafa,flemish,1083
560,Coopman,flemish,1080
561,Seys,flemish,1079
562,Gucht,flemish,1077
563,Bosman,flemish,1076
564,Bruyneel,flemish,1073
565,Volders,flemish,1072
566,Vyver,flemish,1071
567,Swerts,flemish,1071
568,Descamps,flemish,1070
569,Geldhof,flemish,1070
570,Neef,flemish,1069
571,Vanacker,flemish,1069
572,Buys,flemish,1068
573,Dams,flemish,1067
574,Vancoillie,flemish,1067
575,Hendriks,flemish,1064
576,Bex,flemish,1064
577,Dhont,flemish,1064
578,Kerckhoven,flemish,1063
579,Noppe,flemish,1063
580,Maenhout,flemish,1061
581,Vuylsteke,flemish,1059
582,Winne,flemish,1059
583,Wolfs,flemish,1058
584,Keppens,flemish,1057
585,Laeremans,flemish,1057
586,Renterghem,flemish,1057
587,Zutter,flemish,1054
588,Vervloet,flemish,1051
589,Borght,flemish,1051
590,Gilis,flemish,1050
591,Volckaert,flemish,1050
592,Bastiaens,flemish,1049
593,Droogenbroeck,flemish,1048
594,Doms,flemish,1046
595,Lannoo,flemish,1044
596,Adam,flemish,1039
597,Bijnens,flemish,1038
598,Caers,flemish,1037
599,Vanhees,flemish,1036
600,Mouton,flemish,1036
601,Reeth,flemish,1035
602,Bael,flemish,1034
603,Wyns,flemish,1031
604,Roelants,flemish,1030
605,Mannaerts,flemish,1028
606,Landuyt,flemish,1028
607,Maesschalck,flemish,1026
608,Devriese,flemish,1023
