rank,name,origin,frequency
874,Batmaz,turkish,
875,Arıcan,turkish,
876,Ege,turkish,
877,Demirer,turkish,
878,Yaprak,turkish,
879,Türe,turkish,
880,Yurtsever,turkish,
881,Şekerci,turkish,
882,Sivri,turkish,
883,Özdil,turkish,
884,Şengün,turkish,
885,Timur,turkish,
886,Cantürk,turkish,
887,Biyikli,turkish,
888,Yeni,turkish,
889,Toptaş,turkish,
890,Yel,turkish,
891,Altunbaş,turkish,
892,Dikici,turkish,
893,Zeren,turkish,
894,Kalyoncu,turkish,
895,Levent,turkish,
896,Malkoç,turkish,
897,Say,turkish,
898,Taylan,turkish,
899,Danaci,turkish,
900,Orman,turkish,
901,Günel,turkish,
902,Karsli,turkish,
903,Güleryüz,turkish,
904,Başkaya,turkish,
905,Alkiş,turkish,
906,Koçoğlu,turkish,
907,Altiparmak,turkish,
908,Başkan,turkish,
909,Kör,turkish,
910,Nacar,turkish,
911,Köylü,turkish,
912,Pişkin,turkish,
913,Doğu,turkish,
914,Ersan,turkish,
915,Şahiner,turkish,
916,Erdinç,turkish,
917,Talay,turkish,
918,Kibar,turkish,
919,Arpaci,turkish,
920,Aka,turkish,
921,Ilter,turkish,
922,Özaslan,turkish,
923,Aşar,turkish,
924,Aykaç,turkish,
925,Köken,turkish,
926,Karanfil,turkish,
927,Karakoyun,turkish,
928,Sevimli,turkish,
929,Bilgen,turkish,
930,Armağan,turkish,
931,Mermer,turkish,
932,Saygi,turkish,
933,Kotan,turkish,
934,Sertkaya,turkish,
935,Önen,turkish,
936,Cingöz,turkish,
937,Demiröz,turkish,
938,Kesgin,turkish,
939,Akbiyik,turkish,
940,Menteş,turkish,
941,Baki,turkish,
942,Eski,turkish,
943,Alaca,turkish,
944,Yardım,turkish,
945,Kayabaşi,turkish,
946,Akbal,turkish,
947,Algül,turkish,
948,Caner,turkish,
949,Canbolat,turkish,
950,Tabak,turkish,
951,Işcan,turkish,
952,Üzüm,turkish,
953,Tütüncü,turkish,
954,Okan,turkish,
955,Ayas,turkish,
956,Sakalli,turkish,
957,Laçin,turkish,
958,Biçakçi,turkish,
959,Saraçoğlu,turkish,
960,Çopur,turkish,
961,Arat,turkish,
962,Bayazıt,turkish,
963,Daniş,turkish,
964,Göktürk,turkish,
965,Dalkıran,turkish,
966,Durukan,turkish,
967,Kayikçi,turkish,
968,Boğa,turkish,
969,Çaylak,turkish,
970,Taşar,turkish,
971,Kocatürk,turkish,
972,Aslantaş,turkish,
973,Kazanci,turkish,
974,Karci,turkish,
975,Çulha,turkish,
976,Sevindik,turkish,
977,Kadıoğlu,turkish,
978,Özdamar,turkish,
979,Tezel,turkish,
980,Üner,turkish,
981,Altindağ,turkish,
982,Alemdar,turkish,
983,Akkan,turkish,
984,Tamer,turkish,
985,Gülcan,turkish,
986,Boyaci,turkish,
987,Güç,turkish,
988,Eryiğit,turkish,
989,Erkek,turkish,
990,Hazar,turkish,
991,Tümer,turkish,
992,Şensoy,turkish,
993,Başpınar,turkish,
994,Okay,turkish,
995,Erdoğmuş,turkish,
996,Uzel,turkish,
997,Başoğlu,turkish,
998,Sökmen,turkish,
999,Demiroğlu,turkish,
1000,Ökten,turkish,
